formula,is_alloy,Efermi,vbm_up_energy,cbm_up_energy,Ag_up_vbm_orb_idx,Ag_up_vbm_frac,Ag_up_cbm_orb_idx,Ag_up_cbm_frac,Cs_up_vbm_orb_idx,Cs_up_vbm_frac,Cs_up_cbm_orb_idx,Cs_up_cbm_frac,Cd_up_vbm_orb_idx,Cd_up_vbm_frac,Cd_up_cbm_orb_idx,Cd_up_cbm_frac,Co_up_vbm_orb_idx,Co_up_vbm_frac,Co_up_cbm_orb_idx,Co_up_cbm_frac,F_up_vbm_orb_idx,F_up_vbm_frac,F_up_cbm_orb_idx,F_up_cbm_frac,vbm_down_energy,cbm_down_energy,Ag_down_vbm_orb_idx,Ag_down_vbm_frac,Ag_down_cbm_orb_idx,Ag_down_cbm_frac,Cs_down_vbm_orb_idx,Cs_down_vbm_frac,Cs_down_cbm_orb_idx,Cs_down_cbm_frac,Cd_down_vbm_orb_idx,Cd_down_vbm_frac,Cd_down_cbm_orb_idx,Cd_down_cbm_frac,Co_down_vbm_orb_idx,Co_down_vbm_frac,Co_down_cbm_orb_idx,Co_down_cbm_frac,F_down_vbm_orb_idx,F_down_vbm_frac,F_down_cbm_orb_idx,F_down_cbm_frac,bg_energy,bg_direct,bg_transition,cbm_dft,vbm_dft,x_frac,formula_0,formula_100,Cu_up_vbm_orb_idx,Cu_up_vbm_frac,Cu_up_cbm_orb_idx,Cu_up_cbm_frac,Cu_down_vbm_orb_idx,Cu_down_vbm_frac,Cu_down_cbm_orb_idx,Cu_down_cbm_frac,Mg_up_vbm_orb_idx,Mg_up_vbm_frac,Mg_up_cbm_orb_idx,Mg_up_cbm_frac,Mg_down_vbm_orb_idx,Mg_down_vbm_frac,Mg_down_cbm_orb_idx,Mg_down_cbm_frac,Ca_up_vbm_orb_idx,Ca_up_vbm_frac,Ca_up_cbm_orb_idx,Ca_up_cbm_frac,Ca_down_vbm_orb_idx,Ca_down_vbm_frac,Ca_down_cbm_orb_idx,Ca_down_cbm_frac,Cl_up_vbm_orb_idx,Cl_up_vbm_frac,Cl_up_cbm_orb_idx,Cl_up_cbm_frac,Cl_down_vbm_orb_idx,Cl_down_vbm_frac,Cl_down_cbm_orb_idx,Cl_down_cbm_frac,Br_up_vbm_orb_idx,Br_up_vbm_frac,Br_up_cbm_orb_idx,Br_up_cbm_frac,Br_down_vbm_orb_idx,Br_down_vbm_frac,Br_down_cbm_orb_idx,Br_down_cbm_frac,Ni_up_vbm_orb_idx,Ni_up_vbm_frac,Ni_up_cbm_orb_idx,Ni_up_cbm_frac,Ni_down_vbm_orb_idx,Ni_down_vbm_frac,Ni_down_cbm_orb_idx,Ni_down_cbm_frac,Zn_up_vbm_orb_idx,Zn_up_vbm_frac,Zn_up_cbm_orb_idx,Zn_up_cbm_frac,Zn_down_vbm_orb_idx,Zn_down_vbm_frac,Zn_down_cbm_orb_idx,Zn_down_cbm_frac,Ba_up_vbm_orb_idx,Ba_up_vbm_frac,Ba_up_cbm_orb_idx,Ba_up_cbm_frac,Pb_up_vbm_orb_idx,Pb_up_vbm_frac,Pb_up_cbm_orb_idx,Pb_up_cbm_frac,Ba_down_vbm_orb_idx,Ba_down_vbm_frac,Ba_down_cbm_orb_idx,Ba_down_cbm_frac,Pb_down_vbm_orb_idx,Pb_down_vbm_frac,Pb_down_cbm_orb_idx,Pb_down_cbm_frac,I_up_vbm_orb_idx,I_up_vbm_frac,I_up_cbm_orb_idx,I_up_cbm_frac,I_down_vbm_orb_idx,I_down_vbm_frac,I_down_cbm_orb_idx,I_down_cbm_frac,Cr_up_vbm_orb_idx,Cr_up_vbm_frac,Cr_up_cbm_orb_idx,Cr_up_cbm_frac,Cr_down_vbm_orb_idx,Cr_down_vbm_frac,Cr_down_cbm_orb_idx,Cr_down_cbm_frac,Fe_up_vbm_orb_idx,Fe_up_vbm_frac,Fe_up_cbm_orb_idx,Fe_up_cbm_frac,Fe_down_vbm_orb_idx,Fe_down_vbm_frac,Fe_down_cbm_orb_idx,Fe_down_cbm_frac,Mn_up_vbm_orb_idx,Mn_up_vbm_frac,Mn_up_cbm_orb_idx,Mn_up_cbm_frac,Mn_down_vbm_orb_idx,Mn_down_vbm_frac,Mn_down_cbm_orb_idx,Mn_down_cbm_frac,Pd_up_vbm_orb_idx,Pd_up_vbm_frac,Pd_up_cbm_orb_idx,Pd_up_cbm_frac,Pd_down_vbm_orb_idx,Pd_down_vbm_frac,Pd_down_cbm_orb_idx,Pd_down_cbm_frac,Sn_up_vbm_orb_idx,Sn_up_vbm_frac,Sn_up_cbm_orb_idx,Sn_up_cbm_frac,Sn_down_vbm_orb_idx,Sn_down_vbm_frac,Sn_down_cbm_orb_idx,Sn_down_cbm_frac,Sr_up_vbm_orb_idx,Sr_up_vbm_frac,Sr_up_cbm_orb_idx,Sr_up_cbm_frac,Sr_down_vbm_orb_idx,Sr_down_vbm_frac,Sr_down_cbm_orb_idx,Sr_down_cbm_frac,Ti_up_vbm_orb_idx,Ti_up_vbm_frac,Ti_up_cbm_orb_idx,Ti_up_cbm_frac,Ti_down_vbm_orb_idx,Ti_down_vbm_frac,Ti_down_cbm_orb_idx,Ti_down_cbm_frac,V_up_vbm_orb_idx,V_up_vbm_frac,V_up_cbm_orb_idx,V_up_cbm_frac,V_down_vbm_orb_idx,V_down_vbm_frac,V_down_cbm_orb_idx,V_down_cbm_frac,Pt_up_vbm_orb_idx,Pt_up_vbm_frac,Pt_up_cbm_orb_idx,Pt_up_cbm_frac,Pt_down_vbm_orb_idx,Pt_down_vbm_frac,Pt_down_cbm_orb_idx,Pt_down_cbm_frac,K_up_vbm_orb_idx,K_up_vbm_frac,K_up_cbm_orb_idx,K_up_cbm_frac,K_down_vbm_orb_idx,K_down_vbm_frac,K_down_cbm_orb_idx,K_down_cbm_frac,Rb_up_vbm_orb_idx,Rb_up_vbm_frac,Rb_up_cbm_orb_idx,Rb_up_cbm_frac,Rb_down_vbm_orb_idx,Rb_down_vbm_frac,Rb_down_cbm_orb_idx,Rb_down_cbm_frac,Li_up_vbm_orb_idx,Li_up_vbm_frac,Li_up_cbm_orb_idx,Li_up_cbm_frac,Li_down_vbm_orb_idx,Li_down_vbm_frac,Li_down_cbm_orb_idx,Li_down_cbm_frac,Na_up_vbm_orb_idx,Na_up_vbm_frac,Na_up_cbm_orb_idx,Na_up_cbm_frac,Na_down_vbm_orb_idx,Na_down_vbm_frac,Na_down_cbm_orb_idx,Na_down_cbm_frac
Ag2Cs2Co3CdF12,True,1.95345316,1.3515,2.0027,-1.0,0.0,0.0,0.0833,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0833,2.0,0.6667,-1.0,0.0,1.0,0.2222,-1.0,0.0,1.9535,1.9535,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,2.0,0.8384,2.0,0.8384,1.0,0.0642,1.0,0.0642,,,,,,0.25,AgCsCo2F6,AgCsCd2F6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Cs2Co3CuF12,True,1.51641359,1.4662,2.3031,-1.0,0.0,0.0,0.125,-1.0,0.0,-1.0,0.0,,,,,2.0,0.2222,-1.0,0.0,1.0,0.1852,-1.0,0.0,1.5134,1.5134,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,2.0,0.7927,2.0,0.7927,1.0,0.0877,1.0,0.0877,,,,,,0.25,AgCsCo2F6,AgCsCu2F6,2.0,0.2222,-1.0,0.0,2.0,0.0714,2.0,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Cs2CoCd3F12,True,1.90553745,1.7733,1.9352,-1.0,0.0,0.0,0.1111,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.2222,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.9005,1.9005,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,2.0,0.8809,2.0,0.8809,1.0,0.0691,1.0,0.0691,,,,,,0.75,AgCsCo2F6,AgCsCd2F6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Cs2CoCu3F12,True,1.25504263,1.2579,1.2579,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,-1.0,0.0,-1.0,0.0,1.0,0.219,1.0,0.219,1.2579,1.2579,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,2.0,0.7774,2.0,0.7774,1.0,0.1089,1.0,0.1089,,,,,,0.75,AgCsCo2F6,AgCsCu2F6,2.0,0.6904,2.0,0.6904,2.0,0.0525,2.0,0.0525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2MgCoF6,True,3.60688621,3.6069,3.6069,0.0,0.3275,0.0,0.3275,,,,,,,,,-1.0,0.0,-1.0,0.0,0.0,0.1055,0.0,0.1055,3.6069,3.6069,-1.0,0.0,-1.0,0.0,,,,,,,,,2.0,0.8882,2.0,0.8882,1.0,0.0702,1.0,0.0702,,,,,,0.5,AgMgF3,AgCoF3,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag4Mg3CoF12,True,3.55762397,2.1857,3.5953,-1.0,0.0,0.0,0.3333,,,,,,,,,2.0,0.3333,-1.0,0.0,-1.0,0.0,-1.0,0.0,3.5324,3.6079,-1.0,0.0,-1.0,0.0,,,,,,,,,2.0,0.5,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,0.25,AgMgF3,AgCoF3,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag4MgCo3F12,True,3.61216446,3.6125,3.6125,0.0,0.3158,0.0,0.3158,,,,,,,,,0.0,0.0581,0.0,0.0581,0.0,0.1041,0.0,0.1041,3.6125,3.6125,-1.0,0.0,-1.0,0.0,,,,,,,,,2.0,0.8882,2.0,0.8882,1.0,0.0682,1.0,0.0682,,,,,,0.75,AgMgF3,AgCoF3,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgCaF3,False,0.81113018,0.7887,2.9354,2.0,0.5714,-1.0,0.0,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,0.7887,2.9354,2.0,0.5714,-1.0,0.0,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgCdF3,False,0.32261358,0.2983,1.0623,-1.0,0.0,0.0,0.2353,,,,,-1.0,0.0,0.0,0.2353,,,,,-1.0,0.0,-1.0,0.0,0.2983,1.0623,-1.0,0.0,0.0,0.2353,,,,,-1.0,0.0,0.0,0.2353,,,,,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgCoCl3,False,3.32312011,3.2551,5.4705,-1.0,0.0,-1.0,0.0,,,,,,,,,-1.0,0.0,-1.0,0.0,,,,,3.3266,3.3266,-1.0,0.0,-1.0,0.0,,,,,,,,,2.0,0.7682,2.0,0.7682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,1.0,0.1235,1.0,0.1235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgCoF3,False,3.39045644,3.3969,3.3969,-1.0,0.0,-1.0,0.0,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,3.3969,3.3969,-1.0,0.0,-1.0,0.0,,,,,,,,,2.0,0.6667,2.0,0.6667,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgCsCd2F6,False,-0.32314532,-0.3461,1.185,2.0,0.7619,0.0,0.16,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.32,,,,,-1.0,0.0,-1.0,0.0,-0.3461,1.185,2.0,0.7619,0.0,0.16,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.32,,,,,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgCsCo2Br6,False,1.40578021,1.4057,1.4057,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,2.0,0.3563,2.0,0.3563,,,,,1.4057,1.4057,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,2.0,0.8417,2.0,0.8417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.4554,1.0,0.4554,1.0,0.0596,1.0,0.0596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgCsCo2Cl6,False,2.11501637,2.0914,4.2769,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,2.0,0.3333,-1.0,0.0,,,,,2.1124,2.1124,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,2.0,0.5714,2.0,0.5714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.1667,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgCsCo2F6,False,3.04096332,3.0423,3.0423,0.0,0.3376,0.0,0.3376,-1.0,0.0,-1.0,0.0,,,,,0.0,0.0739,0.0,0.0739,1.0,0.1575,1.0,0.1575,3.0423,3.0423,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,2.0,0.8734,2.0,0.8734,1.0,0.058,1.0,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgCsCoCdF6,True,2.13873369,2.1392,2.1392,0.0,0.1493,0.0,0.1493,-1.0,0.0,-1.0,0.0,0.0,0.1865,0.0,0.1865,-1.0,0.0,-1.0,0.0,1.0,0.1668,1.0,0.1668,2.1392,2.1392,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,2.0,0.8643,2.0,0.8643,1.0,0.0778,1.0,0.0778,,,,,,0.5,AgCsCo2F6,AgCsCd2F6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgCsCoCuF6,True,1.4884467,1.4918,1.4918,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,-1.0,0.0,-1.0,0.0,1.0,0.2036,1.0,0.2036,1.4918,1.4918,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,2.0,0.8205,2.0,0.8205,1.0,0.0957,1.0,0.0957,,,,,,0.5,AgCsCo2F6,AgCsCu2F6,2.0,0.6958,2.0,0.6958,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgCsCu2F6,False,0.83486498,0.8387,0.8387,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,1.0,0.291,1.0,0.291,0.8387,0.8387,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,1.0,0.291,1.0,0.291,,,,,,,,,2.0,0.6034,2.0,0.6034,2.0,0.6034,2.0,0.6034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgCuCl3,False,1.9109339,1.9114,1.9114,2.0,0.1678,2.0,0.1678,,,,,,,,,,,,,,,,,1.9114,1.9114,2.0,0.1678,2.0,0.1678,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.3135,2.0,0.3135,2.0,0.3135,2.0,0.3135,,,,,,,,,,,,,,,,,1.0,0.3799,1.0,0.3799,1.0,0.3799,1.0,0.3799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgCuF3,False,0.4542799,0.4305,0.6203,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,0.4305,0.6203,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgMgF3,False,1.6184675,1.5934,3.5918,-1.0,0.0,0.0,0.5714,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,1.5934,3.5918,-1.0,0.0,0.0,0.5714,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgNiF3,False,2.73013497,2.6097,3.7999,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,1.0,0.2,-1.0,0.0,2.7033,3.3185,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.6,-1.0,0.0,2.0,0.8421,2.0,0.9123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgZnF3,False,0.75283501,0.7272,2.0538,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,0.7272,2.0538,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cs2BaPbBr6,True,-0.42069646,-0.4449,2.3056,,,,,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,-0.4449,2.3056,,,,,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,0.5,CsBaBr3,CsPbBr3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.2353,0.0,0.0625,1.0,0.2353,0.0,0.0625,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,0.0,0.1176,1.0,0.3125,-1.0,0.0,-1.0,0.0,0.0,0.1176,1.0,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cs2BaPbCl6,True,-0.13471391,-0.1589,3.0265,,,,,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,-0.1589,3.0265,,,,,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,0.5,CsBaCl3,CsPbCl3,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.4783,-1.0,0.0,1.0,0.4783,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,0.0,0.2174,1.0,0.4118,-1.0,0.0,-1.0,0.0,0.0,0.2174,1.0,0.4118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cs2BaPbF6,True,0.13020174,0.1059,4.0075,,,,,-1.0,0.0,-1.0,0.0,,,,,,,,,-1.0,0.0,-1.0,0.0,0.1059,4.0075,,,,,-1.0,0.0,-1.0,0.0,,,,,,,,,-1.0,0.0,-1.0,0.0,,,,,,0.5,CsBaF3,CsPbF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.2857,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cs2BaPbI6,True,0.53916456,0.5151,2.7589,,,,,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,0.5151,2.7589,,,,,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,0.5,CsBaI3,CsPbI3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,0.0,0.1818,1.0,0.2727,-1.0,0.0,-1.0,0.0,0.0,0.1818,1.0,0.2727,1.0,0.3636,-1.0,0.0,1.0,0.3636,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
